education have,1
have become,1
become alarmingly,1
alarmingly sophisticated,1
sophisticated since,1
since the,1
the late,1
late 80,1
80 s,1
s when,1
when newt,1
newt gingrich,1
gingrich 's,1
's gopac,1
gopac begin,1
begin mail,1
mail ten,1
ten of,1
of thousand,1
thousand of,1
of strategy,1
strategy tape,1
tape to,1
to republican,1
republican activist,1
activist both,1
both party,1
party now,1
now offer,1
offer seminar,1
seminar training,1
training candidate,1
candidate how,1
to run,1
run but,1
but prepare,1
win mark,1
mark the,1
the first,1
first time,1
time either,1
either party,1
party have,1
have try,1
try to,1
to educate,1
educate prospective,1
prospective candidate,1
candidate unlike,1
unlike gopac,1
gopac 's,1
's tape,1
tape which,1
which mix,1
mix strategy,1
strategy with,1
with red-meat,1
red-meat ideology,1
ideology prepare,1
be pure,1
pure process,1
process it,1
it mostly,1
mostly ignoree,1
ignoree republican,1
republican position,1
position and,1
and concentrate,1
concentrate on,1
on campaign,1
campaign mechanic,1
mechanic speaker,1
speaker urge,1
urge you,1
you to,1
to pay,1
pay attention,1
attention to,1
to filing,1
filing deadline,1
deadline hire,1
hire a,1
a lawyer,1
lawyer form,1
form a,1
a kitchen,1
kitchen cabinet,1
cabinet of,1
of friend,1
friend who,1
who can,1
can rein,1
rein you,1
you in,1
in if,1
if the,1
the campaign,1
campaign unhinge,1
unhinge you,1
you court,1
court community,1
community leader,1
leader and,1
and seek,1
seek their,1
their endorsement,1
endorsement before,1
announce choreograph,1
choreograph your,1
your announcement,1
announcement to,1
to maximize,1
maximize media,1
media coverage,1
coverage etc,1
etc it,1
all sensible,1
sensible especially,1
especially the,1
sen susan,1
susan collin,1
collin of,1
of but,1
be thunderingly,1
thunderingly obvious,1
obvious after,1
after a,1
a couple,1
couple of,1
of hour,1
hour i,1
i begin,1
begin to,1
ask myself,1
myself how,1
how dumb,1
dumb do,1
do the,1
republican party,1
party think,1
think i,1
be listen,1
listen for,1
example to,1
to new,1
new mexico,1
mexico party,1
chairman john,1
john dendahl,1
dendahl 's,1
's leaden,1
leaden account,1
account of,1
of how,1
use humor,1
humor in,1
in your,1
campaign the,1
the workbook,1
workbook exacerbate,1
exacerbate this,1
this condescend,1
condescend simple-mindedness,1
simple-mindedness the,1
the 10,1
10 write,1
write question,1
question that,1
that accompany,1
accompany each,1
each speech,1
speech be,1
be of,1
of the,1
the sort,1
sort i,1
have n't,1
n't see,1
see since,1
since sixth-grade,1
sixth-grade reading,1
reading comprehension,1
comprehension how,1
how ,1
 accord,1
accord to,1
rep jennifer,1
jennifer dunn,1
dunn of,1
of washington,1
washington ,1
 do,1
do you,1
you become,1
become an,1
an initiator,1
initiator innovator,1
innovator and,1
and leader,1
leader what,1
what do,1
do ,1
 rep,1
rep ileana,1
ileana ros-,1
ros- lehtinen,1
lehtinen of,1
of florida,1
florida ,1
 learn,1
learn as,1
as a,1
a girl,1
girl scout,1
scout leader,1
leader answer,1
answer be,1
be prepare,1
prepare at,1
at heart,1
heart however,1
however prepare,1
be neither,1
neither commonsensical,1
commonsensical nor,1
nor condescend,1
condescend it,1
be so,1
so deeply,1
deeply that,1
that the,1
speaker be,1
be n't,1
n't even,1
even aware,1
aware of,1
of cynical,1
cynical the,1
the superficial,1
superficial premise,1
premise be,1
be that,1
that politics,1
politics be,1
be about,1
about harness,1
harness your,1
your belief,1
belief your,1
your honesty,1
honesty and,1
and your,1
your care,1
care heart,1
heart for,1
the common,1
common good,1
good the,1
the political,1
political veteran,1
veteran dispense,1
dispense advice,1
advice genuinely,1
genuinely seem,1
seem to,1
be preach,1
preach idealism,1
idealism speaker,1
speaker after,1
after speaker,1
speaker insist,1
that your,1
campaign must,1
be found,1
found on,1
on your,1
principle belief,1
belief vision,1
vision whatever,1
whatever my,1
my favorite,1
favorite workbook,1
workbook question,1
question be,1
be what,1
what be,1
be your,1
principle if,1
you have,1
have to,1
ask the,1
tape overflow,1
overflow with,1
with polonius,1
polonius platitude,1
platitude be,1
yourself people,1
people do,1
n't care,1
care what,1
what you,1
you know,1
know till,1
till they,1
they know,1
know that,1
care sen,1
sen sam,1
sam brownback,1
brownback of,1
of kansa,1
kansa repeatedly,1
repeatedly insist,1
you see,1
see people,1
people as,1
as precious,1
soul not,1
not as,1
as voter,1
voter or,1
or contributor,1
contributor but,1
be odd,1
odd to,1
be celebrate,1
celebrate precious,1
soul on,1
on a,1
a tape,1
tape series,1
series design,1
design to,1
teach candidate,1
candidate exactly,1
exactly how,1
to wring,1
wring money,1
money from,1
from contributor,1
contributor and,1
and seduce,1
seduce skeptical,1
skeptical voter,1
voter while,1
while say,1
say that,1
that candidate,1
candidate should,1
should be,1
to themselve,1
themselve the,1
speaker spend,1
the bulk,1
bulk of,1
of their,1
their time,1
time detail,1
detail how,1
how campaign,1
campaign be,1
be artifice,1
artifice and,1
and how,1
how candidate,1
candidate must,1
must learn,1
learn to,1
to manipulate,1
manipulate voter,1
voter contributor,1
contributor image,1
image and,1
and reporter,1
reporter this,1
this fundamental,1
fundamental cynicism,1
cynicism reveal,1
reveal itself,1
itself in,1
in countless,1
countless small,1
small way,1
way here,1
here for,1
example georgium,1
georgium party,1
chairman rusty,1
rusty paul,1
paul instruct,1
instruct how,1
to make,1
make a,1
a candidacy,1
candidacy announcement,1
announcement political,1
political theater,1
theater with,1
with the,1
the candidate,1
candidate as,1
as the,1
the main,1
main actor,1
actor the,1
the otherwise,1
otherwise admirable,1
admirable sen,1
sen collin,1
collin counsel,1
counsel listener,1
listener to,1
to embrace,1
embrace a,1
a cause,1
before they,1
they become,1
become candidate,1
candidate but,1
but not,1
not because,1
because the,1
cause itself,1
itself matter,1
matter the,1
cause be,1
a great,1
great way,1
way to,1
to build,1
build a,1
a contributor,1
contributor base,1
base listen,1
rep dunn,1
dunn as,1
as she,1
she give,1
give cheerful,1
cheerful happy-talk,1
happy-talk advice,1
advice about,1
about how,1
use anecdote,1
anecdote to,1
to show,1
show voter,1
voter that,1
care about,1
about people,1
people and,1
and not,1
not just,1
just policy,1
policy woman,1
woman she,1
she note,1
note be,1
more responsive,1
responsive to,1
to a,1
a strong,1
strong positive,1
positive message,1
message than,1
than they,1
they be,1
be to,1
to attack,1
attack then,1
then in,1
in her,1
her final,1
final sentence,1
sentence dunn,1
dunn offer,1
offer her,1
her real,1
real advice,1
advice leave,1
leave those,1
those attack,1
attack for,1
the advertising,1
advertising campaign,1
campaign overwhelmingly,1
overwhelmingly i,1
have the,1
the sense,1
sense that,1
that my,1
my prepare,1
win instructor,1
instructor have,1
have no,1
no idea,1
idea how,1
how cynical,1
cynical they,1
they sound,1
sound nowhere,1
nowhere be,1
this more,1
more apparent,1
apparent than,1
than in,1
sen kit,1
kit bond,1
bond a,1
a folksy,1
folksy missourian,1
missourian in,1
in this,1
this clip,1
clip bond,1
bond detail,1
detail his,1
his fund-raising,1
fund-raising philosophy,1
philosophy he,1
he proudly,1
proudly describe,1
describe how,1
how during,1
during his,1
his first,1
first congressional,1
congressional campaign,1
campaign he,1
he refuse,1
refuse a,1
a large,1
large contribution,1
contribution from,1
from someone,1
someone who,1
who want,1
want him,1
him to,1
to change,1
change his,1
his position,1
position on,1
on an,1
an issue,1
issue at,1
at that,1
that moment,1
moment i,1
i make,1
make the,1
the decision,1
decision that,1
be run,1
run this,1
this campaign,1
campaign i,1
not go,1
go to,1
be tell,1
tell by,1
by any,1
any contributor,1
contributor that,1
i should,1
should take,1
take a,1
a stand,1
stand they,1
want me,1
me to,1
to solely,1
solely because,1
because they,1
they would,1
would give,1
give me,1
me money,1
money for,1
for it,1
it i,1
i tell,1
tell 'em,1
'em no,1
no thanks,1
thanks if,1
if they,1
to support,1
support me,1
me in,1
the objective,1
objective i,1
have outline,1
outline that,1
be fine,1
fine but,1
but i,1
i do,1
n't take,1
take position,1
position or,1
or make,1
make vote,1
vote in,1
in response,1
response to,1
to offer,1
offer of,1
of contribution,1
contribution bond,1
bond say,1
say this,1
this as,1
as though,1
though recount,1
recount some,1
some remarkable,1
remarkable achievement,1
achievement in,1
in fact,1
fact what,1
what his,1
his grand,1
grand principle,1
principle amount,1
amount to,1
be no,1
no vote,1
vote for,1
for cash,1
cash sen,1
sen bond,1
bond do,1
do not,1
not take,1
take bribe,1
bribe prepare,1
this passage,1
passage writ,1
writ large,1
large beneath,1
beneath its,1
its pious,1
pious talk,1
talk of,1
of vision,1
and core,1
core belief,1
belief it,1
be teach,1
teach a,1
a lesson,1
lesson about,1
about politics,1
politics that,1
much shabbier,1
shabbier and,1
and much,1
more real,1
real than,1
than the,1
the one,1
one it,1
it pretend,1
pretend to,1
